mode,insertion_ts,finished_ts,TTFT,TBT_p95,TBT_p99,TTLT,out_tok,t_finish,t_insert
cachegen_disk,1772771595.0237,1772772002.7065074,0.1453,0.0462,0.0462,0.4271,,482.22910737991333,74.5462999343872
cachegen_disk,1772771595.1362,1772772003.2561808,0.1304,0.1239,0.1239,0.6982,,482.77878069877625,74.65879988670349
cachegen_disk,1772771595.1667,1772772003.3846195,0.2038,0.1238,0.1238,0.6522,,482.9072194099426,74.68929982185364
cachegen_disk,1772771595.1814,1772772003.5686011,0.2157,0.0542,0.0542,0.5392,,483.0912010669708,74.7039999961853
cachegen_disk,1772771595.1889,1772772003.6234252,0.1372,0.0501,0.0501,0.4271,,483.14602518081665,74.7114999294281
cachegen_disk,1772771595.1974,1772772003.7087486,0.1052,0.059,0.059,0.3818,,483.2313485145569,74.72000002861023
cachegen_disk,1772771595.2131,1772772004.1119275,0.1405,0.0409,0.0409,0.4465,,483.6345274448395,74.73569989204407
cachegen_disk,1772771595.2197,1772772004.3090346,0.1199,0.0491,0.0491,0.4226,,483.8316345214844,74.74230003356934
cachegen_disk,1772771595.2305,1772772004.6144292,0.129,0.1673,0.1673,0.5534,,484.13702917099,74.75309991836548
cachegen_disk,1772771595.3298,1772772005.055226,0.1206,0.1453,0.1453,0.5456,,484.5778260231018,74.8523998260498
cachegen_disk,1772771595.3255,1772772005.0662818,0.2572,0.1456,0.1456,0.7082,,484.5888817310333,74.84809994697571
cachegen_disk,1772771595.3411,1772772005.277388,0.2219,0.156,0.156,0.6708,,484.79998803138733,74.8636999130249
cachegen_disk,1772771595.3947,1772772005.661099,0.1132,0.1733,0.1733,0.8351,,485.1836988925934,74.91729998588562
cachegen_disk,1772771595.4024,1772772005.9624221,0.2334,0.1844,0.1844,0.8763,,485.4850220680237,74.92499995231628
cachegen_disk,1772771595.4845,1772772006.0653675,,,,0.1973,,485.58796739578247,75.00709986686707
cachegen_disk,1772771595.4122,1772772006.2816374,0.2829,0.1232,0.1232,0.9499,,485.80423736572266,74.93479990959167
cachegen_disk,1772771595.4194,1772772006.3924592,0.2443,0.1099,0.1099,0.7886,,485.91505908966064,74.94199991226196
cachegen_disk,1772771595.4778,1772772006.3986588,0.1777,0.1049,0.1049,0.6429,,485.921258687973,75.00039982795715
cachegen_disk,1772771595.4927,1772772006.4696574,0.1782,0.0787,0.0787,0.4379,,485.9922573566437,75.01530003547668
