mode,insertion_ts,finished_ts,TTFT,TBT_p95,TBT_p99,TTLT,out_tok,t_finish,t_insert
native_dram_disk,1772730189.4919,1772730600.2932847,0.0751,0.0665,0.0665,0.336,,448.5249845981598,37.723599910736084
native_dram_disk,1772730189.5015,1772730600.6927447,0.1039,0.0393,0.0393,0.3508,,448.92444467544556,37.73319983482361
native_dram_disk,1772730189.5134,1772730600.7352393,0.1021,0.2301,0.2301,0.4777,,448.9669392108917,37.745100021362305
native_dram_disk,1772730189.522,1772730600.7394805,0.0648,0.2287,0.2287,0.3426,,448.97118043899536,37.75370001792908
native_dram_disk,1772730189.5318,1772730601.2165172,0.0446,0.1087,0.1087,0.4168,,449.4482171535492,37.76349997520447
native_dram_disk,1772730189.5673,1772730601.225732,,,,0.1582,,449.45743203163147,37.79900002479553
native_dram_disk,1772730189.5649,1772730601.349516,0.128,0.1087,0.1087,0.4312,,449.5812158584595,37.79659986495972
native_dram_disk,1772730189.5865,1772730601.7048666,0.0563,0.1257,0.1257,0.516,,449.9365665912628,37.81819987297058
native_dram_disk,1772730189.5891,1772730602.04346,0.1814,0.1303,0.1303,0.7132,,450.27515983581543,37.820799827575684
native_dram_disk,1772730189.6187,1772730602.326821,0.1377,0.2676,0.2676,0.5664,,450.5585210323334,37.8503999710083
native_dram_disk,1772730189.5988,1772730602.3414083,0.1665,0.2594,0.2594,0.8654,,450.57310819625854,37.83049988746643
native_dram_disk,1772730189.609,1772730602.3564143,0.101,0.2682,0.2682,0.7316,,450.5881142616272,37.840699911117554
native_dram_disk,1772730189.6291,1772730602.3711576,0.1711,0.2607,0.2607,0.4717,,450.6028575897217,37.86080002784729
native_dram_disk,1772730189.682,1772730602.8828158,,,,0.1877,,451.1145157814026,37.91369986534119
native_dram_disk,1772730189.6498,1772730603.2625902,0.1563,0.1379,0.1379,0.8277,,451.4942901134491,37.881500005722046
native_dram_disk,1772730189.6591,1772730603.427999,0.1721,0.1494,0.1494,0.8672,,451.6596989631653,37.89079999923706
native_dram_disk,1772730189.7212,1772730603.7685359,0.2162,0.22,0.22,0.4567,,452.00023579597473,37.95289993286133
native_dram_disk,1772730189.7011,1772730603.792439,0.0732,0.2315,0.2315,0.7372,,452.0241389274597,37.93280005455017
native_dram_disk,1772730189.7188,1772730603.8030944,0.1882,0.2237,0.2237,0.5936,,452.0347943305969,37.95050001144409
native_dram_disk,1772730189.6836,1772730603.8196406,0.1724,0.2313,0.2313,0.8693,,452.0513405799866,37.91529989242554
native_dram_disk,1772730189.7796,1772730604.4019573,,,,0.1336,,452.63365721702576,38.01129984855652
native_dram_disk,1772730189.7422,1772730604.703288,0.1458,0.1321,0.1321,0.8408,,452.9349880218506,37.973899841308594
native_dram_disk,1772730189.8325,1772730604.876974,,,,0.2004,,453.10867404937744,38.064199924468994
native_dram_disk,1772730189.7662,1772730604.9230397,0.1694,0.1533,0.1533,0.9102,,453.1547396183014,37.99790000915527
native_dram_disk,1772730189.768,1772730604.940184,0.1472,0.1516,0.1516,0.8034,,453.171884059906,37.99969983100891
native_dram_disk,1772730189.8142,1772730604.9629226,0.1725,0.1516,0.1516,0.4294,,453.1946225166321,38.045899868011475
