mode,ts,retrieved_tokens,hit,t
native_dram_disk,1772730506.263021,0,0,354.49472093582153
native_dram_disk,1772730506.382943,0,0,354.61464285850525
native_dram_disk,1772730506.755002,0,0,354.98670196533203
native_dram_disk,1772730506.898191,0,0,355.1298909187317
native_dram_disk,1772730507.019305,0,0,355.2510049343109
native_dram_disk,1772730507.155093,0,0,355.3867928981781
native_dram_disk,1772730507.281384,512,1,355.51308393478394
native_dram_disk,1772730507.414763,0,0,355.6464629173279
native_dram_disk,1772730507.541071,768,1,355.77277088165283
native_dram_disk,1772730507.696518,0,0,355.9282178878784
native_dram_disk,1772730507.812889,0,0,356.0445890426636
native_dram_disk,1772730507.934471,0,0,356.166170835495
native_dram_disk,1772730508.282816,0,0,356.51451587677
native_dram_disk,1772730508.413169,768,1,356.644868850708
native_dram_disk,1772730508.542173,512,1,356.77387285232544
native_dram_disk,1772730508.677069,0,0,356.9087688922882
native_dram_disk,1772730508.824187,512,1,357.05588698387146
native_dram_disk,1772730508.941309,0,0,357.1730089187622
native_dram_disk,1772730509.077134,0,0,357.30883383750916
native_dram_disk,1772730509.197931,512,1,357.42963099479675
native_dram_disk,1772730509.363943,768,1,357.59564304351807
native_dram_disk,1772730509.53421,0,0,357.765909910202
native_dram_disk,1772730509.705526,512,1,357.9372260570526
native_dram_disk,1772730509.794969,0,0,358.02666902542114
native_dram_disk,1772730510.113147,768,1,358.34484696388245
native_dram_disk,1772730510.265072,512,1,358.49677205085754
native_dram_disk,1772730510.394366,512,1,358.62606596946716
native_dram_disk,1772730510.525904,512,1,358.7576038837433
native_dram_disk,1772730510.659789,0,0,358.89148902893066
native_dram_disk,1772730510.796511,0,0,359.0282108783722
native_dram_disk,1772730510.911469,0,0,359.143168926239
native_dram_disk,1772730511.04295,768,1,359.27464985847473
native_dram_disk,1772730511.185769,0,0,359.4174690246582
native_dram_disk,1772730511.310903,0,0,359.54260301589966
native_dram_disk,1772730511.686228,512,1,359.917927980423
native_dram_disk,1772730511.791578,0,0,360.0232779979706
native_dram_disk,1772730511.933922,512,1,360.1656219959259
native_dram_disk,1772730512.054847,512,1,360.2865469455719
native_dram_disk,1772730512.191865,0,0,360.4235649108887
native_dram_disk,1772730512.343425,768,1,360.57512497901917
native_dram_disk,1772730512.446119,0,0,360.6778190135956
native_dram_disk,1772730512.584623,0,0,360.8163230419159
native_dram_disk,1772730512.755653,0,0,360.987352848053
native_dram_disk,1772730512.891232,0,0,361.1229319572449
native_dram_disk,1772730513.03715,0,0,361.2688498497009
native_dram_disk,1772730513.366613,0,0,361.59831285476685
native_dram_disk,1772730513.472594,0,0,361.70429396629333
native_dram_disk,1772730513.606486,0,0,361.8381860256195
native_dram_disk,1772730513.731552,0,0,361.96325182914734
native_dram_disk,1772730513.856638,0,0,362.0883378982544
native_dram_disk,1772730514.001706,0,0,362.23340582847595
native_dram_disk,1772730514.146518,0,0,362.37821793556213
native_dram_disk,1772730514.254273,0,0,362.48597288131714
native_dram_disk,1772730514.381824,0,0,362.6135239601135
native_dram_disk,1772730514.527549,0,0,362.7592489719391
native_dram_disk,1772730514.69661,0,0,362.92830991744995
native_dram_disk,1772730515.074093,0,0,363.3057930469513
native_dram_disk,1772730515.204264,0,0,363.43596386909485
native_dram_disk,1772730515.350476,0,0,363.5821759700775
native_dram_disk,1772730515.470592,768,1,363.7022919654846
native_dram_disk,1772730515.566048,0,0,363.7977478504181
native_dram_disk,1772730515.713189,0,0,363.94488883018494
native_dram_disk,1772730515.836969,512,1,364.0686688423157
native_dram_disk,1772730515.994942,512,1,364.22664189338684
native_dram_disk,1772730516.14096,0,0,364.3726599216461
native_dram_disk,1772730516.261411,256,1,364.49311089515686
native_dram_disk,1772730516.633625,0,0,364.86532497406006
native_dram_disk,1772730516.766601,512,1,364.9983010292053
native_dram_disk,1772730516.89631,0,0,365.12801003456116
native_dram_disk,1772730517.040886,512,1,365.27258586883545
native_dram_disk,1772730517.163665,0,0,365.3953649997711
native_dram_disk,1772730517.309323,512,1,365.54102301597595
native_dram_disk,1772730517.429072,512,1,365.66077184677124
native_dram_disk,1772730517.544673,0,0,365.7763729095459
