mode,insertion_ts,finished_ts,TTFT,TBT_p95,TBT_p99,TTLT,out_tok,t_finish,t_insert
native_disk,1772587251.3086,1772587300.4999917,0.3718,0.1167,0.1167,0.7953,,392.40519165992737,343.2137999534607
native_disk,1772587251.4085,1772587300.5245059,0.2892,0.1166,0.1166,0.7069,,392.4297058582306,343.3136999607086
native_disk,1772587251.5241,1772587300.538073,0.2967,0.0416,0.0416,0.6005,,392.44327306747437,343.42930006980896
native_disk,1772587251.6233,1772587300.6470346,0.2122,0.1172,0.1172,0.6088,,392.5522346496582,343.52850008010864
native_disk,1772587251.7157,1772587300.684786,0.1354,0.1181,0.1181,0.5394,,392.5899860858917,343.6208999156952
native_disk,1772587251.8086,1772587300.7334063,0.0891,0.1168,0.1168,0.4826,,392.63860630989075,343.7137999534607
native_disk,1772587251.9083,1772587301.001607,0.0905,0.1172,0.1172,0.6309,,392.9068069458008,343.81349992752075
native_disk,1772587252.0095,1772587301.1369412,0.1722,0.1098,0.1098,0.6434,,393.04214119911194,343.9147000312805
native_disk,1772587252.1092,1772587301.179143,0.1154,0.1106,0.1106,0.5734,,393.08434295654297,344.0144000053406
native_disk,1772587252.2077,1772587301.3666902,0.1544,0.1368,0.1368,0.6415,,393.27189016342163,344.112900018692
native_disk,1772587252.311,1772587301.4256172,0.1892,0.1368,0.1368,0.5821,,393.3308172225952,344.2162001132965
native_disk,1772587252.4079,1772587301.4454596,0.1303,0.1374,0.1374,0.5052,,393.35065960884094,344.3131000995636
native_disk,1772587252.5077,1772587301.4763176,0.0672,0.1363,0.1363,0.4305,,393.3815176486969,344.4128999710083
native_disk,1772587252.6226,1772587301.647555,0.1815,0.049,0.049,0.4492,,393.5527551174164,344.5278000831604
native_disk,1772587252.7091,1772587301.6655617,0.1025,0.0432,0.0432,0.3698,,393.570761680603,344.6143000125885
native_disk,1772587253.0138,1772587301.7580035,0.0629,0.0167,0.0167,0.1049,,393.6632034778595,344.9189999103546
native_disk,1772587252.8183,1772587301.7736003,0.096,0.0257,0.0257,0.3286,,393.67880034446716,344.72350001335144
native_disk,1772587252.9185,1772587301.929798,0.0697,0.1029,0.1029,0.4005,,393.83499789237976,344.8236999511719
native_disk,1772587253.1104,1772587302.426922,0.1545,0.1075,0.1075,0.6503,,394.33212208747864,345.0155999660492
native_disk,1772587253.3067,1772587302.4479516,0.0854,0.107,0.107,0.583,,394.3531515598297,345.21189999580383
native_disk,1772587253.4155,1772587302.657577,0.1604,0.1121,0.1121,0.5634,,394.5627770423889,345.32069993019104
native_disk,1772587253.3079,1772587302.6716633,0.1477,0.1122,0.1122,0.6735,,394.5768632888794,345.21309995651245
native_disk,1772587253.5099,1772587302.7184768,0.1733,0.1114,0.1114,0.5153,,394.623676776886,345.41510009765625
native_disk,1772587253.6185,1772587302.7608688,0.0924,0.1129,0.1129,0.4345,,394.66606879234314,345.5236999988556
native_disk,1772587253.7108,1772587302.9503338,0.1579,0.1383,0.1383,0.5224,,394.8555338382721,345.6159999370575
native_disk,1772587253.8098,1772587302.9966958,0.0793,0.1389,0.1389,0.4447,,394.90189576148987,345.7149999141693
native_disk,1772587253.9094,1772587303.4161804,0.0803,0.1384,0.1384,0.7612,,395.3213803768158,345.8145999908447
native_disk,1772587254.0114,1772587303.6518416,0.1901,0.1273,0.1273,0.8676,,395.55704164505005,345.9165999889374
native_disk,1772587254.1116,1772587303.7002149,0.1411,0.1277,0.1277,0.8156,,395.6054148674011,346.0167999267578
native_disk,1772587254.2103,1772587303.733787,0.1709,0.1215,0.1215,0.7357,,395.6389870643616,346.1154999732971
native_disk,1772587254.3106,1772587303.8813303,0.1997,0.1157,0.1157,0.7467,,395.78653025627136,346.2158000469208
native_disk,1772587254.8282,1772587303.883234,,,,0.1567,,395.7884340286255,346.73340010643005
native_disk,1772587254.4105,1772587303.903837,0.2175,0.115,0.115,0.6662,,395.80903697013855,346.3157000541687
native_disk,1772587254.5214,1772587303.9465933,0.2026,0.1146,0.1146,0.5863,,395.85179328918457,346.42659997940063
native_disk,1772587254.634,1772587303.963173,0.1521,0.1143,0.1143,0.4962,,395.8683729171753,346.53920006752014
native_disk,1772587254.7102,1772587304.080257,0.1018,0.1159,0.1159,0.5112,,395.98545694351196,346.6154000759125
native_disk,1772587255.4105,1772587304.8169963,,,,0.4146,,396.7221963405609,347.3157000541687
native_disk,1772587255.7104,1772587305.0204177,,,,0.2994,,396.92561769485474,347.61560010910034
native_disk,1772587255.6099,1772587305.0349135,,,,0.4094,,396.9401135444641,347.5151000022888
native_disk,1772587255.012,1772587305.2444434,0.1498,0.235,0.235,1.2906,,397.1496434211731,346.917200088501
native_disk,1772587255.109,1772587305.3651707,0.1592,0.2358,0.2358,1.3016,,397.270370721817,347.0141999721527
native_disk,1772587255.2234,1772587305.486538,0.1856,0.2355,0.2355,1.3201,,397.39173793792725,347.12860012054443
native_disk,1772587255.3106,1772587305.6204033,0.2542,0.2358,0.2358,1.3343,,397.52560329437256,347.2158000469208
native_disk,1772587255.8088,1772587305.8475642,0.3357,0.1429,0.1429,0.9839,,397.7527642250061,347.71399998664856
native_disk,1772587255.9097,1772587305.8642752,0.2327,0.1427,0.1427,0.8744,,397.7694752216339,347.81489992141724
native_disk,1772587256.0178,1772587305.96879,0.1287,0.1423,0.1423,0.8756,,397.8739900588989,347.9230000972748
native_disk,1772587256.1107,1772587306.2778149,0.1543,0.1439,0.1439,1.0715,,398.18301486968994,348.0158998966217
native_disk,1772587256.2184,1772587306.4507532,0.1716,0.144,0.144,1.1304,,398.35595321655273,348.1236000061035
native_disk,1772587256.3141,1772587306.4953926,0.1884,0.144,0.144,1.0607,,398.4005925655365,348.219300031662
native_disk,1772587256.4228,1772587306.5200782,0.1187,0.1675,0.1675,0.982,,398.4252781867981,348.32800006866455
native_disk,1772587256.5105,1772587306.5980978,0.1831,0.1565,0.1565,0.9334,,398.50329780578613,348.41569995880127
native_disk,1772587256.6104,1772587306.6289573,0.1983,0.1491,0.1491,0.8567,,398.53415727615356,348.5155999660492
native_disk,1772587256.7097,1772587306.759254,0.2138,0.1567,0.1567,0.8518,,398.6644539833069,348.6149001121521
native_disk,1772587256.8099,1772587306.934434,0.2837,0.1607,0.1607,0.9148,,398.8396339416504,348.71510004997253
native_disk,1772587256.9241,1772587307.2161133,0.3325,0.1596,0.1596,1.0711,,399.12131333351135,348.8292999267578
native_disk,1772587257.0108,1772587307.2248251,0.225,0.1647,0.1647,0.9647,,399.1300251483917,348.9159998893738
native_disk,1772587257.1385,1772587307.4282248,0.1343,0.1607,0.1607,1.0708,,399.33342480659485,349.0436999797821
native_disk,1772587257.2097,1772587307.6766007,0.1013,0.1608,0.1608,1.1869,,399.581800699234,349.1149001121521
native_disk,1772587257.9105,1772587307.7504725,0.3583,0.0448,0.0448,0.467,,399.6556725502014,349.8157000541687
native_disk,1772587257.3093,1772587307.9098403,0.1648,0.1612,0.1612,1.3113,,399.8150403499603,349.21449995040894
native_disk,1772587257.4116,1772587308.0718822,0.2279,0.1384,0.1384,1.3572,,399.97708225250244,349.3168001174927
native_disk,1772587257.5115,1772587308.1938732,0.3984,0.1312,0.1312,1.3853,,400.0990731716156,349.416699886322
native_disk,1772587257.6215,1772587308.2174778,0.3979,0.1393,0.1393,1.294,,400.12267780303955,349.5267000198364
native_disk,1772587257.7224,1772587308.3427134,0.3997,0.1348,0.1348,1.3134,,400.2479133605957,349.6275999546051
native_disk,1772587257.816,1772587308.3671598,0.4008,0.1392,0.1392,1.2259,,400.27235984802246,349.72119998931885
native_disk,1772587258.0108,1772587308.4158175,0.2723,0.1317,0.1317,1.0291,,400.3210175037384,349.9159998893738
native_disk,1772587258.2178,1772587308.4367561,0.1108,0.1399,0.1399,0.8307,,400.34195613861084,350.1229999065399
native_disk,1772587258.3096,1772587308.7105799,0.195,0.1403,0.1403,0.982,,400.615779876709,350.2148001194
native_disk,1772587258.4104,1772587308.8844929,0.2549,0.164,0.164,1.0523,,400.78969287872314,350.3155999183655
native_disk,1772587258.5199,1772587308.9229493,0.2603,0.1624,0.1624,0.968,,400.82814931869507,350.4251000881195
native_disk,1772587259.1119,1772587308.9732485,0.2451,0.0202,0.0202,0.3229,,400.8784484863281,351.0171000957489
native_disk,1772587258.6121,1772587308.992435,0.2723,0.1645,0.1645,0.8952,,400.89763498306274,350.5172998905182
native_disk,1772587258.7103,1772587309.0100408,0.1842,0.1622,0.1622,0.8092,,400.9152407646179,350.6154999732971
native_disk,1772587258.8126,1772587309.0318918,0.1298,0.1643,0.1643,0.7257,,400.9370918273926,350.7177999019623
native_disk,1772587258.9224,1772587309.1131265,0.1617,0.1629,0.1629,0.6954,,401.0183265209198,350.8276000022888
native_disk,1772587259.01,1772587309.1806524,0.1778,0.1636,0.1636,0.639,,401.08585238456726,350.9151999950409
native_disk,1772587259.2197,1772587309.229842,0.1635,0.0424,0.0424,0.4693,,401.1350419521332,351.12490010261536
native_disk,1772587259.3267,1772587309.2498233,0.0911,0.0355,0.0355,0.379,,401.1550233364105,351.23189997673035
native_disk,1772587259.4096,1772587309.3512335,0.0905,0.0295,0.0295,0.3437,,401.2564334869385,351.3148000240326
native_disk,1772587259.5107,1772587309.4001598,0.0798,0.0223,0.0223,0.3097,,401.30535984039307,351.41589999198914
native_disk,1772587259.7109,1772587309.787799,0.064,0.0972,0.0972,0.4705,,401.6929988861084,351.6161000728607
native_disk,1772587260.111,1772587309.935423,,,,0.1534,,401.8406229019165,352.0162000656128
native_disk,1772587260.2101,1772587310.1135092,,,,0.226,,402.01870918273926,352.11529994010925
native_disk,1772587259.8101,1772587310.3053358,0.0785,0.1591,0.1591,0.8598,,402.2105357646942,351.7153000831604
native_disk,1772587259.9096,1772587310.3878484,0.1369,0.1591,0.1591,0.8303,,402.2930483818054,351.8148000240326
native_disk,1772587260.015,1772587310.5163178,0.1419,0.1591,0.1591,0.8494,,402.4215178489685,351.9202001094818
native_disk,1772587260.3233,1772587310.834644,0.1607,0.1413,0.1413,0.8321,,402.739844083786,352.2284998893738
native_disk,1772587260.4227,1772587310.8665078,0.198,0.1382,0.1382,0.7552,,402.7717077732086,352.3278999328613
native_disk,1772587260.6099,1772587311.220129,0.1693,0.1381,0.1381,0.8741,,403.12532901763916,352.5151000022888
native_disk,1772587260.7099,1772587311.3494296,0.2161,0.1384,0.1384,0.8973,,403.254629611969,352.6150999069214
native_disk,1772587260.8104,1772587311.392833,0.1438,0.1381,0.1381,0.8227,,403.2980329990387,352.7156000137329
native_disk,1772587260.9215,1772587311.441119,0.1647,0.1386,0.1386,0.7541,,403.3463189601898,352.8266999721527
native_disk,1772587261.0106,1772587311.4767382,0.1231,0.1387,0.1387,0.6796,,403.38193821907043,352.9158000946045
native_disk,1772587261.1196,1772587311.537029,0.1791,0.1098,0.1098,0.6244,,403.4422290325165,353.02480006217957
native_disk,1772587261.2095,1772587311.6526883,0.1928,0.109,0.109,0.6254,,403.55788826942444,353.11470007896423
native_disk,1772587261.3173,1772587311.776174,0.2104,0.1015,0.1015,0.6392,,403.68137407302856,353.2225000858307
native_disk,1772587261.4091,1772587311.905702,0.1273,0.1042,0.1042,0.6376,,403.81090211868286,353.3143000602722
native_disk,1772587261.8259,1772587311.925764,,,,0.1876,,403.83096408843994,353.73110008239746
native_disk,1772587261.5096,1772587311.990818,0.0714,0.107,0.107,0.5984,,403.8960180282593,353.41479992866516
native_disk,1772587261.6104,1772587312.26864,0.1567,0.1594,0.1594,0.7501,,404.17384004592896,353.5155999660492
native_disk,1772587261.7094,1772587312.3945992,0.1652,0.1582,0.1582,0.759,,404.2997992038727,353.614599943161
native_disk,1772587261.9202,1772587312.5514247,0.1268,0.1596,0.1596,0.7038,,404.45662474632263,353.82540011405945
native_disk,1772587262.0557,1772587312.661809,0.0729,0.1587,0.1587,0.671,,404.56700897216797,353.9609000682831
native_disk,1772587262.1095,1772587312.833923,0.2037,0.1117,0.1117,0.7512,,404.7391231060028,354.0146999359131
native_disk,1772587262.2096,1772587312.8875723,0.2153,0.1102,0.1102,0.693,,404.7927722930908,354.1147999763489
native_disk,1772587262.3092,1772587312.9149806,0.2135,0.1113,0.1113,0.5928,,404.82018065452576,354.2144000530243
native_disk,1772587262.4201,1772587313.0292282,0.1371,0.111,0.111,0.5903,,404.93442821502686,354.3252999782562
native_disk,1772587262.5109,1772587313.1164849,0.0927,0.1104,0.1104,0.5542,,405.021684885025,354.416100025177
native_disk,1772587262.6097,1772587313.400564,0.1606,0.1336,0.1336,0.7251,,405.30576395988464,354.51489996910095
native_disk,1772587262.7098,1772587313.508675,0.11,0.135,0.135,0.7372,,405.4138751029968,354.61500000953674
native_disk,1772587263.4226,1772587313.785386,,,,0.2248,,405.6905860900879,355.3278000354767
native_disk,1772587262.8094,1772587313.8016076,0.1657,0.135,0.135,0.9002,,405.7068076133728,354.71460008621216
