mode,ts,vram_gb,t
native_dram_disk,1772596777.375359,6.3801,157.76605916023254
native_dram_disk,1772596777.484951,6.3801,157.87565112113953
native_dram_disk,1772596777.59437,6.3801,157.98506999015808
native_dram_disk,1772596777.704459,6.3703,158.0951590538025
native_dram_disk,1772596777.829211,6.3703,158.21991109848022
native_dram_disk,1772596777.961494,6.3703,158.35219407081604
native_dram_disk,1772596778.069046,6.3703,158.45974612236023
native_dram_disk,1772596778.179415,6.3801,158.5701150894165
native_dram_disk,1772596778.290039,6.3703,158.68073916435242
native_dram_disk,1772596778.403099,6.3703,158.793799161911
native_dram_disk,1772596778.514918,6.3801,158.90561819076538
native_dram_disk,1772596778.656638,6.3703,159.04733800888062
native_dram_disk,1772596778.786698,6.3703,159.17739820480347
native_dram_disk,1772596778.893829,6.3703,159.28452920913696
native_dram_disk,1772596779.00923,6.3703,159.39993000030518
native_dram_disk,1772596779.13004,6.3703,159.52074003219604
native_dram_disk,1772596779.254275,6.3703,159.6449751853943
native_dram_disk,1772596779.368595,6.3801,159.75929498672485
native_dram_disk,1772596779.49019,6.3703,159.8808901309967
native_dram_disk,1772596779.600294,6.3703,159.9909942150116
native_dram_disk,1772596779.7097,6.3801,160.10040020942688
native_dram_disk,1772596779.820051,6.3703,160.21075105667114
native_dram_disk,1772596779.92974,6.3703,160.32044005393982
native_dram_disk,1772596780.046937,6.3801,160.43763709068298
native_dram_disk,1772596780.160839,6.3703,160.55153918266296
native_dram_disk,1772596780.269285,6.3801,160.6599850654602
native_dram_disk,1772596780.379245,6.3801,160.76994514465332
native_dram_disk,1772596780.49434,6.3703,160.88504004478455
native_dram_disk,1772596780.603726,6.3801,160.99442601203918
native_dram_disk,1772596780.715721,6.3801,161.10642099380493
native_dram_disk,1772596780.833005,6.3703,161.22370505332947
native_dram_disk,1772596780.97187,6.3801,161.36257004737854
native_dram_disk,1772596781.088988,6.3703,161.47968816757202
native_dram_disk,1772596781.19801,6.3703,161.58871006965637
native_dram_disk,1772596781.309203,6.3703,161.69990301132202
native_dram_disk,1772596781.423837,6.3703,161.81453704833984
native_dram_disk,1772596781.532909,6.3703,161.9236090183258
native_dram_disk,1772596781.644305,6.3801,162.03500509262085
native_dram_disk,1772596781.75302,6.3801,162.1437201499939
native_dram_disk,1772596781.888048,6.3703,162.2787480354309
native_dram_disk,1772596781.995731,6.3801,162.3864312171936
native_dram_disk,1772596782.118376,6.3801,162.50907611846924
native_dram_disk,1772596782.228811,6.3703,162.61951112747192
native_dram_disk,1772596782.338683,6.3703,162.72938299179077
native_dram_disk,1772596782.452264,6.3703,162.84296417236328
native_dram_disk,1772596782.564137,6.3703,162.95483708381653
native_dram_disk,1772596782.702258,6.3801,163.0929582118988
native_dram_disk,1772596782.811288,6.3703,163.20198822021484
native_dram_disk,1772596782.922791,6.3703,163.31349110603333
native_dram_disk,1772596783.033094,6.3801,163.4237940311432
native_dram_disk,1772596783.148251,6.3703,163.53895115852356
native_dram_disk,1772596783.260693,6.3703,163.65139317512512
native_dram_disk,1772596783.371074,6.3801,163.76177406311035
native_dram_disk,1772596783.481148,6.3703,163.87184810638428
native_dram_disk,1772596783.592765,6.3703,163.98346519470215
native_dram_disk,1772596783.715742,6.3703,164.10644221305847
native_dram_disk,1772596783.825745,6.3703,164.21644520759583
native_dram_disk,1772596783.934864,6.3801,164.32556414604187
native_dram_disk,1772596784.044647,6.3703,164.4353470802307
native_dram_disk,1772596784.154914,6.3801,164.54561400413513
