file,chunked,mb,out_dir,hol_corr
timsort_hol_sleep_0.001_pushint_0.001_mb40_chunked_1_20260131_035038.csv,1,40,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.001_mb40_chunked_1_20260131_035038,0.790988591297237
timsort_hol_sleep_0.001_pushint_0.001_mb60_chunked_0_20260131_012948.csv,0,60,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.001_mb60_chunked_0_20260131_012948,0.569094674595479
timsort_hol_sleep_0.001_pushint_0.001_mb60_chunked_1_20260130_230551.csv,1,60,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.001_mb60_chunked_1_20260130_230551,0.15574067771901917
timsort_hol_sleep_0.001_pushint_0.001_mb80_chunked_0_20260130_204241.csv,0,80,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.001_mb80_chunked_0_20260130_204241,
timsort_hol_sleep_0.001_pushint_0.001_mb80_chunked_1_20260130_181639.csv,1,80,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.001_mb80_chunked_1_20260130_181639,0.4005396995519242
timsort_hol_sleep_0.001_pushint_0.01_mb100_chunked_0_20260130_160737.csv,0,100,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.01_mb100_chunked_0_20260130_160737,
timsort_hol_sleep_0.001_pushint_0.01_mb100_chunked_1_20260130_134126.csv,1,100,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.01_mb100_chunked_1_20260130_134126,0.34092772620861966
timsort_hol_sleep_0.001_pushint_0.01_mb20_chunked_0_20260131_110628.csv,0,20,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.01_mb20_chunked_0_20260131_110628,0.7552470348810406
timsort_hol_sleep_0.001_pushint_0.01_mb20_chunked_1_20260131_084605.csv,1,20,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.01_mb20_chunked_1_20260131_084605,0.7727087187936796
timsort_hol_sleep_0.001_pushint_0.01_mb40_chunked_0_20260131_062710.csv,0,40,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.01_mb40_chunked_0_20260131_062710,0.08933857818695709
timsort_hol_sleep_0.001_pushint_0.01_mb40_chunked_1_20260131_040648.csv,1,40,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.01_mb40_chunked_1_20260131_040648,0.7905805156175765
timsort_hol_sleep_0.001_pushint_0.01_mb60_chunked_0_20260131_014459.csv,0,60,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.01_mb60_chunked_0_20260131_014459,0.6506101385399593
timsort_hol_sleep_0.001_pushint_0.01_mb60_chunked_1_20260130_232311.csv,1,60,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.01_mb60_chunked_1_20260130_232311,0.36885582408654927
timsort_hol_sleep_0.001_pushint_0.01_mb80_chunked_0_20260130_205753.csv,0,80,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.01_mb80_chunked_0_20260130_205753,
timsort_hol_sleep_0.001_pushint_0.01_mb80_chunked_1_20260130_183359.csv,1,80,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.01_mb80_chunked_1_20260130_183359,0.5694285191228318
timsort_hol_sleep_0.01_pushint_0.0001_mb100_chunked_0_20260130_162249.csv,0,100,per_file_plots/chunked_0/timsort_hol_sleep_0.01_pushint_0.0001_mb100_chunked_0_20260130_162249,0.404536611215643
timsort_hol_sleep_0.01_pushint_0.0001_mb100_chunked_1_20260130_135922.csv,1,100,per_file_plots/chunked_1/timsort_hol_sleep_0.01_pushint_0.0001_mb100_chunked_1_20260130_135922,0.8681265642136531
timsort_hol_sleep_0.01_pushint_0.0001_mb20_chunked_0_20260131_112201.csv,0,20,per_file_plots/chunked_0/timsort_hol_sleep_0.01_pushint_0.0001_mb20_chunked_0_20260131_112201,0.5734486810401136
timsort_hol_sleep_0.01_pushint_0.0001_mb20_chunked_1_20260131_090143.csv,1,20,per_file_plots/chunked_1/timsort_hol_sleep_0.01_pushint_0.0001_mb20_chunked_1_20260131_090143,0.8495807436249515
timsort_hol_sleep_0.01_pushint_0.0001_mb40_chunked_0_20260131_064223.csv,0,40,per_file_plots/chunked_0/timsort_hol_sleep_0.01_pushint_0.0001_mb40_chunked_0_20260131_064223,-0.010418984545040843
timsort_hol_sleep_0.01_pushint_0.0001_mb40_chunked_1_20260131_042257.csv,1,40,per_file_plots/chunked_1/timsort_hol_sleep_0.01_pushint_0.0001_mb40_chunked_1_20260131_042257,0.7120737225917702
timsort_hol_sleep_0.01_pushint_0.0001_mb60_chunked_0_20260131_020011.csv,0,60,per_file_plots/chunked_0/timsort_hol_sleep_0.01_pushint_0.0001_mb60_chunked_0_20260131_020011,0.13298183272303413
timsort_hol_sleep_0.01_pushint_0.0001_mb60_chunked_1_20260130_234006.csv,1,60,per_file_plots/chunked_1/timsort_hol_sleep_0.01_pushint_0.0001_mb60_chunked_1_20260130_234006,0.7995162819377745
timsort_hol_sleep_0.01_pushint_0.0001_mb80_chunked_0_20260130_211305.csv,0,80,per_file_plots/chunked_0/timsort_hol_sleep_0.01_pushint_0.0001_mb80_chunked_0_20260130_211305,0.2973437098013328
timsort_hol_sleep_0.01_pushint_0.0001_mb80_chunked_1_20260130_185102.csv,1,80,per_file_plots/chunked_1/timsort_hol_sleep_0.01_pushint_0.0001_mb80_chunked_1_20260130_185102,0.7013900345068576
timsort_hol_sleep_0.01_pushint_0.001_mb100_chunked_0_20260130_163800.csv,0,100,per_file_plots/chunked_0/timsort_hol_sleep_0.01_pushint_0.001_mb100_chunked_0_20260130_163800,0.003742386464833027
timsort_hol_sleep_0.01_pushint_0.001_mb100_chunked_1_20260130_141652.csv,1,100,per_file_plots/chunked_1/timsort_hol_sleep_0.01_pushint_0.001_mb100_chunked_1_20260130_141652,0.8836469465289951
timsort_hol_sleep_0.01_pushint_0.001_mb20_chunked_0_20260131_113740.csv,0,20,per_file_plots/chunked_0/timsort_hol_sleep_0.01_pushint_0.001_mb20_chunked_0_20260131_113740,0.4205162629164352
