mode,ts,vram_gb,t
native,1772596797.438608,6.3704,177.8293080329895
native,1772596797.548671,6.3704,177.9393711090088
native,1772596797.661553,6.3801,178.0522530078888
native,1772596797.769458,6.3704,178.16015815734863
native,1772596797.879655,6.3704,178.2703549861908
native,1772596798.006924,6.3704,178.3976240158081
native,1772596798.118107,6.3704,178.508807182312
native,1772596798.229096,6.3801,178.61979603767395
native,1772596798.339183,6.3704,178.72988319396973
native,1772596798.449151,6.3704,178.83985114097595
native,1772596798.572285,6.3704,178.96298503875732
native,1772596798.679754,6.3704,179.070454120636
native,1772596798.804979,6.3704,179.19567918777466
native,1772596798.914315,6.3704,179.30501508712769
native,1772596799.032637,6.3704,179.42333698272705
native,1772596799.14355,6.3704,179.53425002098083
native,1772596799.256558,6.3801,179.64725804328918
native,1772596799.386159,6.3801,179.7768590450287
native,1772596799.488077,6.3704,179.87877702713013
native,1772596799.611205,6.3801,180.0019052028656
native,1772596799.725667,6.3704,180.1163671016693
native,1772596799.839616,6.3704,180.23031616210938
native,1772596799.954991,6.3801,180.34569120407104
native,1772596800.068792,6.3704,180.4594922065735
native,1772596800.197757,6.3801,180.58845710754395
native,1772596800.30739,6.3704,180.69809007644653
native,1772596800.416665,6.3704,180.8073651790619
native,1772596800.527842,6.3704,180.91854214668274
native,1772596800.637531,6.3704,181.02823114395142
native,1772596800.748267,6.3801,181.13896703720093
native,1772596800.861592,6.3704,181.25229215621948
native,1772596800.970034,6.3704,181.36073398590088
native,1772596801.079909,6.3801,181.47060918807983
native,1772596801.195786,6.3704,181.5864861011505
native,1772596801.306309,6.3801,181.6970090866089
native,1772596801.419577,6.3801,181.81027698516846
native,1772596801.529693,6.3801,181.9203929901123
native,1772596801.641262,6.3704,182.03196215629578
native,1772596801.753749,6.3704,182.1444489955902
native,1772596801.864898,6.3801,182.2555980682373
native,1772596801.972168,6.3704,182.36286807060242
native,1772596802.085353,6.3704,182.47605299949646
native,1772596802.196595,6.3801,182.5872950553894
native,1772596802.30931,6.3704,182.70001006126404
native,1772596802.420436,6.3704,182.81113600730896
native,1772596802.542905,6.3801,182.9336051940918
native,1772596802.652878,6.3704,183.04357814788818
native,1772596802.779174,6.3704,183.16987419128418
