mode,ts,event,t
native,1772596892.627066,serialize,273.01776599884033
native,1772596892.627487,serialize,273.018187046051
native,1772596892.628344,serialize,273.0190441608429
native,1772596892.830255,serialize,273.2209551334381
native,1772596892.831847,serialize,273.22254705429077
native,1772596892.833758,serialize,273.22445821762085
native,1772596892.834699,serialize,273.225399017334
native,1772596892.848286,deserialize,273.2389860153198
native,1772596892.849859,deserialize,273.24055910110474
native,1772596892.850858,deserialize,273.2415580749512
native,1772596893.025704,serialize,273.41640400886536
native,1772596893.026191,serialize,273.41689109802246
native,1772596893.026877,serialize,273.41757702827454
native,1772596893.179456,serialize,273.5701560974121
native,1772596893.179974,serialize,273.5706741809845
native,1772596893.180683,serialize,273.57138299942017
native,1772596893.322541,serialize,273.7132411003113
native,1772596893.323086,serialize,273.7137861251831
native,1772596893.572516,serialize,273.9632160663605
native,1772596893.572921,serialize,273.96362113952637
native,1772596893.573469,serialize,273.96416902542114
native,1772596893.687636,serialize,274.0783360004425
native,1772596893.688485,serialize,274.0791850090027
native,1772596893.894964,serialize,274.2856640815735
native,1772596893.895542,serialize,274.28624200820923
native,1772596894.068902,serialize,274.45960211753845
native,1772596894.069311,serialize,274.4600110054016
native,1772596894.069894,serialize,274.4605941772461
native,1772596894.193748,serialize,274.58444809913635
native,1772596894.194697,serialize,274.5853970050812
native,1772596894.304904,deserialize,274.69560408592224
native,1772596894.305863,deserialize,274.6965630054474
native,1772596894.306742,deserialize,274.69744205474854
native,1772596894.413462,deserialize,274.80416202545166
native,1772596894.414382,deserialize,274.8050820827484
native,1772596894.672798,serialize,275.0634980201721
native,1772596894.673553,serialize,275.06425309181213
native,1772596894.788732,deserialize,275.1794321537018
native,1772596894.789686,deserialize,275.18038606643677
native,1772596894.790571,deserialize,275.1812710762024
native,1772596895.030789,serialize,275.42148900032043
native,1772596895.031226,serialize,275.4219260215759
native,1772596895.031978,serialize,275.4226779937744
native,1772596895.139846,serialize,275.5305461883545
native,1772596895.140737,serialize,275.5314371585846
native,1772596895.349675,deserialize,275.74037504196167
native,1772596895.350606,deserialize,275.74130606651306
native,1772596895.588768,serialize,275.9794681072235
native,1772596895.589524,serialize,275.98022413253784
native,1772596895.821212,serialize,276.21191215515137
native,1772596895.821985,serialize,276.2126851081848
native,1772596895.929793,serialize,276.3204929828644
native,1772596895.930275,serialize,276.3209750652313
native,1772596896.173221,serialize,276.56392121315
native,1772596896.173586,serialize,276.56428599357605
native,1772596896.174439,serialize,276.5651390552521
native,1772596896.321329,serialize,276.7120292186737
native,1772596896.321685,serialize,276.7123851776123
native,1772596896.322245,serialize,276.71294498443604
native,1772596896.446486,serialize,276.83718609809875
native,1772596896.447335,serialize,276.83803510665894
native,1772596896.574233,serialize,276.96493315696716
native,1772596896.574829,serialize,276.9655292034149
native,1772596896.698948,serialize,277.08964800834656
native,1772596896.700377,serialize,277.0910770893097
native,1772596896.794816,serialize,277.1855161190033
native,1772596896.795729,serialize,277.1864290237427
native,1772596896.922404,serialize,277.31310415267944
native,1772596896.922714,serialize,277.3134140968323
native,1772596896.923664,serialize,277.31436419487
native,1772596897.17551,serialize,277.5662100315094
native,1772596897.17771,serialize,277.56841015815735
native,1772596897.180735,serialize,277.571435213089
native,1772596897.181121,serialize,277.57182121276855
native,1772596897.181786,serialize,277.57248616218567
native,1772596897.345658,serialize,277.73635816574097
native,1772596897.34604,serialize,277.7367401123047
native,1772596897.558864,serialize,277.9495642185211
native,1772596897.55955,serialize,277.9502501487732
native,1772596897.560676,serialize,277.9513761997223
native,1772596897.709421,serialize,278.10012102127075
native,1772596897.709829,serialize,278.1005291938782
native,1772596897.710696,serialize,278.1013960838318
native,1772596897.87424,serialize,278.26494002342224
native,1772596897.874776,serialize,278.26547598838806
native,1772596898.004737,serialize,278.395437002182
native,1772596898.00542,serialize,278.39612007141113
native,1772596898.147704,serialize,278.5384039878845
native,1772596898.147968,serialize,278.53866815567017
native,1772596898.14869,serialize,278.5393900871277
native,1772596898.264361,serialize,278.655061006546
native,1772596898.264855,serialize,278.6555550098419
native,1772596898.397228,serialize,278.78792810440063
native,1772596898.398458,serialize,278.7891581058502
native,1772596898.522951,serialize,278.91365098953247
native,1772596898.523502,serialize,278.91420221328735
native,1772596898.678816,serialize,279.0695161819458
native,1772596898.679624,serialize,279.0703241825104
native,1772596898.807987,serialize,279.1986870765686
native,1772596898.808762,serialize,279.19946217536926
native,1772596898.961492,serialize,279.3521921634674
native,1772596898.962146,serialize,279.3528461456299
native,1772596898.963205,serialize,279.35390520095825
native,1772596899.094741,serialize,279.48544120788574
native,1772596899.095788,serialize,279.4864881038666
native,1772596899.098549,deserialize,279.4892489910126
native,1772596899.099716,deserialize,279.4904160499573
native,1772596899.1088,deserialize,279.4995000362396
native,1772596899.109829,deserialize,279.500529050827
native,1772596899.110815,deserialize,279.5015151500702
native,1772596899.455193,serialize,279.84589314460754
native,1772596899.455949,serialize,279.8466491699219
native,1772596899.606275,serialize,279.99697518348694
native,1772596899.606673,serialize,279.99737310409546
native,1772596899.607358,serialize,279.9980580806732
native,1772596899.610265,deserialize,280.0009651184082
native,1772596899.611651,deserialize,280.0023510456085
native,1772596899.86555,serialize,280.25625014305115
native,1772596899.865834,serialize,280.25653409957886
native,1772596899.866834,serialize,280.2575340270996
native,1772596900.01941,serialize,280.41010999679565
native,1772596900.019819,serialize,280.4105191230774
native,1772596900.020561,serialize,280.41126108169556
native,1772596900.247187,serialize,280.6378870010376
native,1772596900.249246,serialize,280.6399459838867
native,1772596900.251233,serialize,280.64193320274353
native,1772596900.251846,serialize,280.6425461769104
native,1772596900.255292,deserialize,280.64599204063416
native,1772596900.256465,deserialize,280.64716506004333
native,1772596900.389215,serialize,280.7799150943756
native,1772596900.390146,serialize,280.780846118927
native,1772596900.51712,serialize,280.9078199863434
native,1772596900.518014,serialize,280.908714056015
native,1772596900.671554,serialize,281.06225419044495
native,1772596900.671978,serialize,281.0626780986786
native,1772596900.672793,serialize,281.06349301338196
native,1772596900.847258,serialize,281.2379581928253
native,1772596900.847764,serialize,281.23846411705017
native,1772596900.848768,serialize,281.23946809768677
native,1772596901.140945,serialize,281.53164505958557
native,1772596901.141383,serialize,281.5320830345154
native,1772596901.141924,serialize,281.53262400627136
native,1772596901.149691,serialize,281.54039120674133
native,1772596901.150229,serialize,281.5409290790558
native,1772596901.150802,serialize,281.54150199890137
native,1772596901.163709,deserialize,281.5544090270996
native,1772596901.16475,deserialize,281.55545020103455
native,1772596901.74194,serialize,282.1326401233673
native,1772596901.742397,serialize,282.13309717178345
native,1772596901.743471,serialize,282.1341710090637
native,1772596901.747165,deserialize,282.1378650665283
native,1772596901.748038,deserialize,282.138738155365
native,1772596901.7488,deserialize,282.1395001411438
native,1772596902.132107,serialize,282.52280712127686
native,1772596902.132609,serialize,282.52330899238586
native,1772596902.133565,serialize,282.52426505088806
native,1772596902.370133,serialize,282.76083302497864
native,1772596902.371354,serialize,282.7620542049408
native,1772596902.374835,deserialize,282.7655351161957
native,1772596902.376198,deserialize,282.7668981552124
native,1772596902.623735,serialize,283.0144350528717
native,1772596902.624076,serialize,283.0147759914398
native,1772596902.62477,serialize,283.0154700279236
native,1772596902.736514,serialize,283.1272141933441
native,1772596902.73705,serialize,283.12775015830994
native,1772596902.98872,serialize,283.37942004203796
native,1772596902.989094,serialize,283.3797941207886
native,1772596902.989803,serialize,283.3805031776428
native,1772596903.117981,serialize,283.50868105888367
native,1772596903.118408,serialize,283.50910806655884
native,1772596903.244558,serialize,283.6352581977844
native,1772596903.244981,serialize,283.63568115234375
native,1772596903.372227,serialize,283.7629270553589
native,1772596903.373069,serialize,283.7637691497803
native,1772596903.50933,serialize,283.9000301361084
native,1772596903.509606,serialize,283.9003059864044
native,1772596903.510254,serialize,283.9009540081024
native,1772596903.656509,serialize,284.0472090244293
native,1772596903.657018,serialize,284.0477180480957
native,1772596903.659765,deserialize,284.0504651069641
native,1772596903.660908,deserialize,284.0516080856323
native,1772596903.841968,serialize,284.2326681613922
native,1772596903.842482,serialize,284.23318219184875
native,1772596904.08167,serialize,284.4723701477051
native,1772596904.082064,serialize,284.47276401519775
native,1772596904.08321,serialize,284.4739100933075
native,1772596904.234969,serialize,284.62566900253296
native,1772596904.235307,serialize,284.6260070800781
native,1772596904.235865,serialize,284.6265652179718
native,1772596904.439269,serialize,284.82996916770935
native,1772596904.440156,serialize,284.8308560848236
native,1772596904.443153,deserialize,284.8338530063629
native,1772596904.444791,deserialize,284.8354911804199
native,1772596904.44568,deserialize,284.8363800048828
native,1772596904.681178,serialize,285.07187819480896
native,1772596904.681574,serialize,285.07227420806885
native,1772596904.682217,serialize,285.0729169845581
native,1772596904.807235,serialize,285.1979351043701
native,1772596904.808061,serialize,285.1987609863281
native,1772596905.026676,serialize,285.41737604141235
native,1772596905.027393,serialize,285.4180932044983
