mode,insertion_ts,finished_ts,TTFT,TBT_p95,TBT_p99,TTLT,out_tok,t_finish,t_insert
native,1772596792.8608,1772596819.1339252,0.2386,0.2039,0.2039,1.2791,,199.52462530136108,173.2515001296997
native,1772596792.9596,1772596819.1719582,0.2342,0.2051,0.2051,1.1865,,199.56265830993652,173.35030007362366
native,1772596793.0598,1772596819.20543,0.2665,0.2039,0.2039,1.1187,,199.59613013267517,173.4505000114441
native,1772596793.2649,1772596819.2451096,0.1976,0.2047,0.2047,0.9333,,199.63580965995789,173.65560007095337
native,1772596793.1597,1772596819.261321,0.2934,0.2052,0.2052,1.0411,,199.65202116966248,173.55040001869202
native,1772596793.3589,1772596819.284703,0.2171,0.2046,0.2046,0.8685,,199.67540311813354,173.74960017204285
native,1772596793.46,1772596819.3098211,0.2661,0.2039,0.2039,0.7857,,199.70052123069763,173.8507001399994
native,1772596793.5673,1772596819.356923,0.372,0.0625,0.0625,0.6964,,199.74762320518494,173.95800018310547
native,1772596793.6615,1772596819.3724093,0.2769,0.0595,0.0595,0.6101,,199.7631094455719,174.05220007896423
native,1772596793.7594,1772596819.404133,0.2471,0.034,0.034,0.537,,199.79483318328857,174.15009999275208
native,1772596793.8728,1772596819.4074197,0.1341,0.0321,0.0321,0.4227,,199.7981197834015,174.26350021362305
native,1772596793.9683,1772596819.4622767,0.0705,0.0379,0.0379,0.3711,,199.85297679901123,174.35900020599365
native,1772596794.0617,1772596820.1431286,0.0838,0.1604,0.1604,0.8997,,200.53382873535156,174.45240020751953
native,1772596794.1605,1772596820.5915947,0.1039,0.1597,0.1597,1.2342,,200.98229479789734,174.55120015144348
native,1772596794.2654,1772596821.049581,0.1768,0.2101,0.2101,1.5897,,201.44028115272522,174.65610003471375
native,1772596794.3714,1772596821.2876148,0.236,0.212,0.212,1.7154,,201.6783149242401,174.76210021972656
native,1772596794.4653,1772596821.4246228,0.3605,0.2107,0.2107,1.7267,,201.81532287597656,174.85600018501282
native,1772596794.5606,1772596821.4489758,0.3451,0.2126,0.2126,1.6322,,201.8396759033203,174.95130014419556
native,1772596794.6599,1772596821.5458724,0.3675,0.2105,0.2105,1.6316,,201.9365725517273,175.05060005187988
native,1772596794.7616,1772596821.5721557,0.2742,0.211,0.211,1.5441,,201.96285581588745,175.15230011940002
native,1772596794.8602,1772596821.6162016,0.3267,0.2112,0.2112,1.4502,,202.00690174102783,175.2509000301361
native,1772596794.9602,1772596821.646276,0.2256,0.2116,0.2116,1.3952,,202.03697609901428,175.35090017318726
native,1772596795.0593,1772596821.6694772,0.2318,0.2101,0.2101,1.3083,,202.0601773262024,175.45000004768372
native,1772596795.1591,1772596821.7247994,0.3495,0.2082,0.2082,1.2359,,202.11549949645996,175.549800157547
native,1772596795.2642,1772596821.7448492,0.2703,0.2095,0.2095,1.1575,,202.1355493068695,175.65490007400513
native,1772596795.4674,1772596821.76506,0.2855,0.2088,0.2088,0.9701,,202.15576004981995,175.85810017585754
native,1772596795.3714,1772596821.7803109,0.3947,0.2084,0.2084,1.0851,,202.17101097106934,175.76210021972656
native,1772596795.5601,1772596821.850725,0.4075,0.111,0.111,0.9038,,202.24142503738403,175.95080018043518
native,1772596795.6594,1772596821.851232,0.2977,0.1108,0.1108,0.7941,,202.24193215370178,176.0501000881195
native,1772596795.9595,1772596821.8743389,0.2202,0.0463,0.0463,0.5301,,202.26503896713257,176.350200176239
native,1772596795.7598,1772596821.897692,0.3195,0.0994,0.0994,0.7293,,202.28839206695557,176.1505000591278
native,1772596795.8596,1772596821.9131331,0.2011,0.1125,0.1125,0.6277,,202.30383324623108,176.2503001689911
native,1772596796.0603,1772596821.936071,0.1342,0.0336,0.0336,0.4236,,202.32677102088928,176.45100021362305
native,1772596796.1646,1772596822.1522942,0.0866,0.1253,0.1253,0.542,,202.54299426078796,176.5552999973297
